brand,model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,os,processor,rating,release_month,year
Oppo,A98 111,855,16,128,108,6000,6.6,33,Yes,Android,Helio G99,3.8,February,2025
Realme,11 Pro+ 843,618,6,128,64,4500,6.9,100,Yes,Android,Tensor G4,4.4,August,2025
Xiaomi,Redmi Note 14 Pro 461,258,16,64,64,4000,6.8,44,Yes,Android,A18 Pro,4.1,March,2025
Vivo,V29e 744,837,6,512,48,4500,6,65,Yes,Android,Exynos 2400,4.1,August,2025
Apple,iPhone 16 Pro Max 927,335,12,128,200,5000,6.9,100,Yes,iOS,Dimensity 9300,3.5,February,2025
OnePlus,Nord 4 295,938,16,512,200,5000,6.2,120,No,Android,Exynos 2400,3.7,May,2025
Infinix,GT 20 Pro 112,418,12,256,64,6000,6.9,44,No,Android,Exynos 2400,4.1,April,2025
Apple,iPhone 16 Pro Max 232,1447,16,64,64,4500,6.7,33,Yes,iOS,Exynos 2400,4.7,November,2025
Infinix,Hot 40 111,1354,6,1024,12,5500,5.7,18,Yes,Android,Tensor G4,4,July,2025
Realme,GT 7 Pro 668,311,8,1024,50,5500,6.9,44,Yes,Android,Snapdragon 6 Gen 1,4.4,March,2025
Samsung,Galaxy Z Fold6 423,1093,8,1024,200,4000,5.6,100,Yes,Android,Snapdragon 8 Gen 3,4.1,April,2025
Apple,iPhone 14 397,1077,8,128,48,6000,7.1,120,No,iOS,Snapdragon 8 Gen 3,4.4,August,2025
Vivo,V30 400,223,8,512,200,5500,6.3,18,Yes,Android,Helio G99,4.9,December,2025
Realme,Narzo 70 620,1192,12,256,12,4000,6.2,33,No,Android,Snapdragon 8 Gen 3,4.7,October,2025
Xiaomi,Poco F6 497,1126,8,64,48,4000,7.2,33,Yes,Android,Exynos 2400,4.7,July,2025
Xiaomi,Poco X6 Pro 400,277,6,256,108,4500,7.1,18,No,Android,Helio G99,4,May,2025
Infinix,Hot 40 658,1467,6,128,48,6000,6.3,18,No,Android,Snapdragon 6 Gen 1,3.8,March,2025
Samsung,Galaxy Z Fold6 163,1339,6,512,200,4500,6.2,120,Yes,Android,Snapdragon 7+ Gen 2,4.7,May,2025
OnePlus,Nord CE 4 Lite 503,642,8,256,200,5500,7.1,33,No,Android,Exynos 2400,4.2,April,2025
OnePlus,OnePlus 12 729,127,16,256,200,5500,5.7,44,Yes,Android,Snapdragon 7+ Gen 2,5,January,2025
Samsung,Galaxy Z Fold6 195,1247,6,1024,12,5000,5.6,65,No,Android,Helio G99,3.8,January,2025
Google,Pixel 9 Pro 845,1392,8,128,108,4500,7.1,44,Yes,Android,Tensor G4,3.8,October,2025
Apple,iPhone 14 328,868,4,512,12,4500,7.2,44,No,iOS,Snapdragon 6 Gen 1,4.6,December,2025
Realme,GT Neo 6 18,1404,16,1024,50,4000,6.6,100,Yes,Android,Tensor G4,4.7,April,2025
